#Device ID ; Time (us) ; Current (mA) ; Voltage (V) ; PC ; Function Name ; File Name ; Line number
000440245691; 31009301; 8.269911E-4; 3.3249958; -1; ; ; 0
000440245691; 31019301; 1.7791423E-4; 3.3249958; -1; ; ; 0
000440245691; 31029301; 8.289555E-4; 3.3293023; -1; ; ; 0
000440245691; 31039301; 0.0014947089; 3.3293023; -1; ; ; 0
000440245691; 31049301; 0.0016393642; 3.3223042; -1; ; ; 0
000440245691; 31059301; 0.0019297715; 3.3223042; -1; ; ; 0
000440245691; 31069301; 0.0016969804; 3.3223042; -1; ; ; 0
000440245691; 31079301; 0.0010581384; 3.3247266; -1; ; ; 0
000440245691; 31089301; 0.0011304666; 3.3247266; -1; ; ; 0
000440245691; 31099301; 0.0013754577; 3.3225732; -1; ; ; 0
000440245691; 31109301; 0.0015536046; 3.3225732; -1; ; ; 0
000440245691; 31119301; 0.0020455979; 3.3225732; -1; ; ; 0
000440245691; 31129301; 0.001899618; 3.3247266; -1; ; ; 0
000440245691; 31139301; 0.0012890574; 3.3247266; -1; ; ; 0
000440245691; 31149301; 9.4957853E-4; 3.3228426; -1; ; ; 0
000440245691; 31159301; 8.7153935E-4; 3.3228426; -1; ; ; 0
000440245691; 31169301; 0.0014121933; 3.3228426; -1; ; ; 0
000440245691; 31179301; 0.0010721205; 3.3228426; -1; ; ; 0
000440245691; 31189301; 7.316819E-4; 3.3228426; -1; ; ; 0
000440245691; 31199301; 0.0011697607; 3.3239193; -1; ; ; 0
000440245691; 31209301; 0.0013648585; 3.3239193; -1; ; ; 0
000440245691; 31219301; 0.0012581715; 3.3239193; -1; ; ; 0
000440245691; 31229301; 0.0011259436; 3.3255339; -1; ; ; 0
000440245691; 31239301; 0.0012667157; 3.3255339; -1; ; ; 0
000440245691; 31249301; 0.0017222029; 3.3255339; -1; ; ; 0
000440245691; 31259301; 0.0015358771; 3.3214967; -1; ; ; 0
000440245691; 31269301; 0.0012473433; 3.3214967; -1; ; ; 0
000440245691; 31279301; 0.0015254595; 3.3241882; -1; ; ; 0
000440245691; 31289301; 0.0016575041; 3.3241882; -1; ; ; 0
000440245691; 31299301; 0.0012949061; 3.3241882; -1; ; ; 0
000440245691; 31309301; 0.0012962314; 3.3266108; -1; ; ; 0
000440245691; 31319301; 0.0015884669; 3.3266108; -1; ; ; 0
000440245691; 31329301; 0.0012245416; 3.3193436; -1; ; ; 0
000440245691; 31339301; 0.0013159683; 3.3193436; -1; ; ; 0
000440245691; 31349301; 0.001399079; 3.3193436; -1; ; ; 0
000440245691; 31359301; 6.6689134E-4; 3.3260727; -1; ; ; 0
000440245691; 31369301; 0.0016577311; 3.3260727; -1; ; ; 0
000440245691; 31379301; 0.002292736; 3.3228426; -1; ; ; 0
000440245691; 31389301; 0.0013161051; 3.3228426; -1; ; ; 0
000440245691; 31399301; 9.975982E-4; 3.3228426; -1; ; ; 0
000440245691; 31409301; 0.0010842266; 3.3249958; -1; ; ; 0
000440245691; 31419301; 9.995169E-4; 3.3249958; -1; ; ; 0
000440245691; 31429301; 8.3749904E-4; 3.3193436; -1; ; ; 0
000440245691; 31439301; 0.0010002934; 3.3193436; -1; ; ; 0
000440245691; 31449301; 0.0010148227; 3.3193436; -1; ; ; 0
000440245691; 31459301; 9.959525E-4; 3.3185358; -1; ; ; 0
000440245691; 31469301; 0.0012585805; 3.3185358; -1; ; ; 0
000440245691; 31479301; 0.0014481954; 3.3185358; -1; ; ; 0
000440245691; 31489301; 8.0318464E-4; 3.3239193; -1; ; ; 0
000440245691; 31499301; 0.0016868354; 3.3239193; -1; ; ; 0
000440245691; 31509301; 0.0018361973; 3.3231118; -1; ; ; 0
000440245691; 31519301; 4.6210698E-4; 3.3231118; -1; ; ; 0
000440245691; 31529301; 0.0012990625; 3.3231118; -1; ; ; 0
000440245691; 31539301; 0.0015715596; 3.32365; -1; ; ; 0
000440245691; 31549301; 9.964556E-4; 3.32365; -1; ; ; 0
000440245691; 31559301; 0.0012853098; 3.3263416; -1; ; ; 0
000440245691; 31569301; 0.0015058111; 3.3263416; -1; ; ; 0
000440245691; 31579301; 0.001334838; 3.3263416; -1; ; ; 0
000440245691; 31589300; 9.524556E-4; 3.3249958; -1; ; ; 0
000440245691; 31599300; 0.0010123105; 3.3249958; -1; ; ; 0
000440245691; 31609301; 0.0011229268; 3.32688; -1; ; ; 0
000440245691; 31619301; 0.0010853237; 3.32688; -1; ; ; 0
000440245691; 31629301; 0.0015453339; 3.32688; -1; ; ; 0
000440245691; 31639301; 0.84039164; 3.3206892; -1; ; ; 0
000440245691; 31649301; 0.8392209; 3.3206892; -1; ; ; 0
000440245691; 31659301; 2.305016E-5; 3.3206892; -1; ; ; 0
000440245691; 31669301; 1.6578665E-4; 3.3206892; -1; ; ; 0
